owner,sensor,date,latitude,longitude,air_temperature,qcFlag 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2017-06-01T00:36:00Z,29.2675,-91.3839,26.0,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2017-06-01T00:42:00Z,29.2675,-91.3839,26.0,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2017-06-01T00:48:00Z,29.2675,-91.3839,26.1,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2017-06-01T01:36:00Z,29.2675,-91.3839,26.1,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2017-06-01T01:42:00Z,29.2675,-91.3839,26.0,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2017-06-01T01:48:00Z,29.2675,-91.3839,26.1,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2017-06-01T02:36:00Z,29.2675,-91.3839,26.1,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2017-06-01T02:42:00Z,29.2675,-91.3839,26.0,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2017-06-01T02:48:00Z,29.2675,-91.3839,26.1,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2017-06-01T03:36:00Z,29.2675,-91.3839,24.9,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2017-06-01T03:42:00Z,29.2675,-91.3839,24.9,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2017-06-01T03:48:00Z,29.2675,-91.3839,24.8,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2017-06-01T04:36:00Z,29.2675,-91.3839,24.6,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2017-06-01T04:42:00Z,29.2675,-91.3839,24.6,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2017-06-01T04:48:00Z,29.2675,-91.3839,24.8,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2017-06-01T05:36:00Z,29.2675,-91.3839,24.9,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2017-06-01T05:42:00Z,29.2675,-91.3839,24.7,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2017-06-01T05:48:00Z,29.2675,-91.3839,24.7,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2017-06-01T06:36:00Z,29.2675,-91.3839,24.5,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2017-06-01T06:42:00Z,29.2675,-91.3839,24.4,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2017-06-01T06:48:00Z,29.2675,-91.3839,24.6,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2017-06-01T07:36:00Z,29.2675,-91.3839,25.0,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2017-06-01T07:42:00Z,29.2675,-91.3839,25.1,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2017-06-01T08:36:00Z,29.2675,-91.3839,24.9,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2017-06-01T08:42:00Z,29.2675,-91.3839,24.9,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2017-06-01T08:48:00Z,29.2675,-91.3839,24.8,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2017-06-01T09:36:00Z,29.2675,-91.3839,24.3,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2017-06-01T09:42:00Z,29.2675,-91.3839,24.4,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2017-06-01T09:48:00Z,29.2675,-91.3839,24.4,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2017-06-01T10:36:00Z,29.2675,-91.3839,24.1,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2017-06-01T10:42:00Z,29.2675,-91.3839,24.1,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2017-06-01T10:48:00Z,29.2675,-91.3839,24.1,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2017-06-01T11:36:00Z,29.2675,-91.3839,23.9,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2017-06-01T11:42:00Z,29.2675,-91.3839,23.9,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2017-06-01T11:48:00Z,29.2675,-91.3839,24.0,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2017-06-01T12:36:00Z,29.2675,-91.3839,24.1,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2017-06-01T12:42:00Z,29.2675,-91.3839,24.2,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2017-06-01T12:48:00Z,29.2675,-91.3839,24.2,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2017-06-01T13:36:00Z,29.2675,-91.3839,24.6,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2017-06-01T13:42:00Z,29.2675,-91.3839,24.8,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2017-06-01T13:48:00Z,29.2675,-91.3839,24.8,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2017-06-01T14:36:00Z,29.2675,-91.3839,24.9,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2017-06-01T14:42:00Z,29.2675,-91.3839,25.0,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2017-06-01T14:48:00Z,29.2675,-91.3839,25.0,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2017-06-01T15:36:00Z,29.2675,-91.3839,25.6,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2017-06-01T15:42:00Z,29.2675,-91.3839,25.6,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2017-06-01T15:48:00Z,29.2675,-91.3839,25.7,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2017-06-01T18:36:00Z,29.2675,-91.3839,24.8,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2017-06-01T18:42:00Z,29.2675,-91.3839,25.6,1111122 
