owner,sensor,date,latitude,longitude,vertical_datum,wind_speed,wind_to_direction,wind_speed_of_gust,qcFlag 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2017-06-01T00:42:00Z,29.2675,-91.3839,0,1,101,1.4,'1111122
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2017-06-01T01:42:00Z,29.2675,-91.3839,0,2.2,69,2.3,'1111122
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2017-06-01T02:42:00Z,29.2675,-91.3839,0,1.6,141,1.7,'1111122
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2017-06-01T03:42:00Z,29.2675,-91.3839,0,4.2,104,5.1,'1111122
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2017-06-01T04:42:00Z,29.2675,-91.3839,0,6,110,7.9,'1111122
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2017-06-01T05:42:00Z,29.2675,-91.3839,0,7,142,7.7,'1111122
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2017-06-01T06:42:00Z,29.2675,-91.3839,0,5.4,155,6.5,'1111122
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2017-06-01T07:42:00Z,29.2675,-91.3839,0,3.6,155,4.4,'1111122
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2017-06-01T08:42:00Z,29.2675,-91.3839,0,1.1,79,1.2,'1111122
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2017-06-01T09:42:00Z,29.2675,-91.3839,0,2.3,23,2.6,'1111122
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2017-06-01T10:42:00Z,29.2675,-91.3839,0,3.7,37,4.5,'1111122
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2017-06-01T11:42:00Z,29.2675,-91.3839,0,4.6,73,5,'1111122
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2017-06-01T12:42:00Z,29.2675,-91.3839,0,4.1,79,5,'1111122
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2017-06-01T13:42:00Z,29.2675,-91.3839,0,4.9,97,5.3,'1111122
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2017-06-01T14:42:00Z,29.2675,-91.3839,0,5.3,109,6.3,'1111122
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2017-06-01T15:36:00Z,29.2675,-91.3839,0,5,118,5.8,'1111122
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2017-06-01T16:42:00Z,29.2675,-91.3839,0,3.4,70,3.8,'1111122
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2017-06-01T17:42:00Z,29.2675,-91.3839,0,6.7,86,10.5,'1111122
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2017-06-01T18:42:00Z,29.2675,-91.3839,0,4.4,98,4.9,'1111122
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2017-06-01T19:42:00Z,29.2675,-91.3839,0,5.1,86,5.9,'1111122
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2017-06-01T20:42:00Z,29.2675,-91.3839,0,9.1,193,10.1,'1111122
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2017-06-01T21:42:00Z,29.2675,-91.3839,0,6.4,189,7.9,'1111122
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2017-06-01T22:42:00Z,29.2675,-91.3839,0,4.2,168,4.6,'1111122
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2017-06-01T23:42:00Z,29.2675,-91.3839,0,3.7,167,4.2,'1111122
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2017-06-02T00:42:00Z,29.2675,-91.3839,0,3.8,145,4.2,'1111122
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2017-06-02T01:42:00Z,29.2675,-91.3839,0,4.3,138,4.9,'1111122
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2017-06-02T02:42:00Z,29.2675,-91.3839,0,3.3,134,3.8,'1111122
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2017-06-02T03:42:00Z,29.2675,-91.3839,0,5.2,142,5.6,'1111122
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2017-06-02T04:42:00Z,29.2675,-91.3839,0,5.6,141,6.2,'1111122
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2017-06-02T05:42:00Z,29.2675,-91.3839,0,5.2,139,6.3,'1111122
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2017-06-02T06:42:00Z,29.2675,-91.3839,0,4.1,134,5.6,'1111122
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2017-06-02T07:42:00Z,29.2675,-91.3839,0,4.3,151,5.2,'1111122
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2017-06-02T08:48:00Z,29.2675,-91.3839,0,3.5,131,4,'1111122
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2017-06-02T09:42:00Z,29.2675,-91.3839,0,3.1,129,3.5,'1111122
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2017-06-02T10:42:00Z,29.2675,-91.3839,0,4,119,4.4,'1111122
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2017-06-02T11:36:00Z,29.2675,-91.3839,0,3.9,104,4.5,'1111122
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2017-06-02T12:42:00Z,29.2675,-91.3839,0,5.9,96,6.5,'1111122
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2017-06-02T13:42:00Z,29.2675,-91.3839,0,4.8,98,5.5,'1111122
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2017-06-02T14:36:00Z,29.2675,-91.3839,0,6,156,7.2,'1111122
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2017-06-02T15:42:00Z,29.2675,-91.3839,0,5.9,140,6.7,'1111122
