owner,sensor,date,latitude,longitude,air_pressure(mBar),qcFlag 
NDBC,ioos:station:wmo:42019:1,2017-08-01T00:50:00Z,27.9070,-95.3530,1013.7,1111122 
NDBC,ioos:station:wmo:42019:1,2017-08-01T01:50:00Z,27.9070,-95.3530,1013.9,1111122 
NDBC,ioos:station:wmo:42019:1,2017-08-01T02:50:00Z,27.9070,-95.3530,1014.2,1111122 
NDBC,ioos:station:wmo:42019:1,2017-08-01T03:50:00Z,27.9070,-95.3530,1014.4,1111122 
NDBC,ioos:station:wmo:42019:1,2017-08-01T04:50:00Z,27.9070,-95.3530,1014.6,1111122 
NDBC,ioos:station:wmo:42019:1,2017-08-01T05:50:00Z,27.9070,-95.3530,1014.2,1111122 
NDBC,ioos:station:wmo:42019:1,2017-08-01T06:50:00Z,27.9070,-95.3530,1013.8,1111122 
NDBC,ioos:station:wmo:42019:1,2017-08-01T07:50:00Z,27.9070,-95.3530,1013.5,1111122 
NDBC,ioos:station:wmo:42019:1,2017-08-01T08:50:00Z,27.9070,-95.3530,1013.6,1111122 
NDBC,ioos:station:wmo:42019:1,2017-08-01T09:50:00Z,27.9070,-95.3530,1013.6,1111122 
NDBC,ioos:station:wmo:42019:1,2017-08-01T10:50:00Z,27.9070,-95.3530,1013.8,1111122 
NDBC,ioos:station:wmo:42019:1,2017-08-01T11:50:00Z,27.9070,-95.3530,1014.0,1111122 
NDBC,ioos:station:wmo:42019:1,2017-08-01T12:50:00Z,27.9070,-95.3530,1014.2,1111122 
NDBC,ioos:station:wmo:42019:1,2017-08-01T13:50:00Z,27.9070,-95.3530,1014.7,1111122 
NDBC,ioos:station:wmo:42019:1,2017-08-01T14:50:00Z,27.9070,-95.3530,1014.9,1111122 
NDBC,ioos:station:wmo:42019:1,2017-08-01T15:50:00Z,27.9070,-95.3530,1015.0,1111122 
NDBC,ioos:station:wmo:42019:1,2017-08-01T16:50:00Z,27.9070,-95.3530,1015.0,1111122 
NDBC,ioos:station:wmo:42019:1,2017-08-01T17:50:00Z,27.9070,-95.3530,1014.7,1111122 
NDBC,ioos:station:wmo:42019:1,2017-08-01T18:50:00Z,27.9070,-95.3530,1014.5,1111122 
NDBC,ioos:station:wmo:42019:1,2017-08-01T19:50:00Z,27.9070,-95.3530,1014.2,1111122 
