owner,sensor,date,latitude,longitude,vertical_datum,sea_water_temperature,qcFlag 
TABS,ioos:station:wmo:42043:1,2017-07-02T02:30:00Z,28.9818,-94.9186,-2.0,28.97,11111222 
TABS,ioos:station:wmo:42043:1,2017-07-02T03:00:00Z,28.9818,-94.9186,-2.0,29.13,11111222 
TABS,ioos:station:wmo:42043:1,2017-07-02T03:30:00Z,28.9818,-94.9186,-2.0,29.04,11111222 
TABS,ioos:station:wmo:42043:1,2017-07-02T04:00:00Z,28.9818,-94.9186,-2.0,29.06,11111222 
TABS,ioos:station:wmo:42043:1,2017-07-02T04:30:00Z,28.9818,-94.9186,-2.0,29.07,11111222 
TABS,ioos:station:wmo:42043:1,2017-07-02T05:00:00Z,28.9818,-94.9186,-2.0,29.01,11111222 
TABS,ioos:station:wmo:42043:1,2017-07-02T05:30:00Z,28.9818,-94.9186,-2.0,29.12,11111222 
TABS,ioos:station:wmo:42043:1,2017-07-02T06:00:00Z,28.9818,-94.9186,-2.0,29.14,11111222 
TABS,ioos:station:wmo:42043:1,2017-07-02T06:30:00Z,28.9818,-94.9186,-2.0,29.1,11111222 
TABS,ioos:station:wmo:42043:1,2017-07-02T07:00:00Z,28.9818,-94.9186,-2.0,29.11,11111222 
TABS,ioos:station:wmo:42043:1,2017-07-02T07:30:00Z,28.9818,-94.9186,-2.0,29.1,11111222 
TABS,ioos:station:wmo:42043:1,2017-07-02T08:00:00Z,28.9818,-94.9186,-2.0,29.03,11111222 
TABS,ioos:station:wmo:42043:1,2017-07-02T08:30:00Z,28.9818,-94.9186,-2.0,29.03,11111222 
TABS,ioos:station:wmo:42043:1,2017-07-02T09:00:00Z,28.9818,-94.9186,-2.0,29.06,11111222 
TABS,ioos:station:wmo:42043:1,2017-07-02T09:30:00Z,28.9818,-94.9186,-2.0,29.04,11111222 
TABS,ioos:station:wmo:42043:1,2017-07-02T10:00:00Z,28.9818,-94.9186,-2.0,29.02,11111222 
TABS,ioos:station:wmo:42043:1,2017-07-02T10:30:00Z,28.9818,-94.9186,-2.0,29.02,11111222 
