owner,sensor,date,latitude,longitude,air_pressure(mBar),qcFlag 
TABS,ioos:station:wmo:42043:1,2017-08-22T12:30:00Z,28.9818,-94.9186,1015.0,11111222 
TABS,ioos:station:wmo:42043:1,2017-08-22T13:00:00Z,28.9818,-94.9186,1015.0,11111222 
TABS,ioos:station:wmo:42043:1,2017-08-22T13:30:00Z,28.9818,-94.9186,1017.0,11111222 
TABS,ioos:station:wmo:42043:1,2017-08-22T14:00:00Z,28.9818,-94.9186,1016.0,11111222 
TABS,ioos:station:wmo:42043:1,2017-08-22T14:30:00Z,28.9818,-94.9186,1015.0,11111222 
TABS,ioos:station:wmo:42043:1,2017-08-22T15:00:00Z,28.9818,-94.9186,1016.0,11111222 
TABS,ioos:station:wmo:42043:1,2017-08-22T15:30:00Z,28.9818,-94.9186,1016.0,11111222 
TABS,ioos:station:wmo:42043:1,2017-08-22T16:00:00Z,28.9818,-94.9186,1017.0,11111222 
TABS,ioos:station:wmo:42043:1,2017-08-22T16:30:00Z,28.9818,-94.9186,1018.0,11111222 
TABS,ioos:station:wmo:42043:1,2017-08-22T17:00:00Z,28.9818,-94.9186,1017.0,1111122 
TABS,ioos:station:wmo:42043:1,2017-08-22T17:30:00Z,28.9818,-94.9186,1016.0,1111122 
TABS,ioos:station:wmo:42043:1,2017-08-22T20:00:00Z,28.9818,-94.9186,1015.0,11111222 
TABS,ioos:station:wmo:42043:1,2017-08-22T20:30:00Z,28.9818,-94.9186,1015.0,11111222 
TABS,ioos:station:wmo:42043:1,2017-08-22T21:00:00Z,28.9818,-94.9186,1014.0,11111222 
TABS,ioos:station:wmo:42043:1,2017-08-22T21:30:00Z,28.9818,-94.9186,1014.0,11111222 
TABS,ioos:station:wmo:42043:1,2017-08-22T22:00:00Z,28.9818,-94.9186,1013.0,11111222 
TABS,ioos:station:wmo:42043:1,2017-08-22T22:30:00Z,28.9818,-94.9186,1013.0,11111222 
TABS,ioos:station:wmo:42043:1,2017-08-22T23:00:00Z,28.9818,-94.9186,1014.0,11111222 
TABS,ioos:station:wmo:42043:1,2017-08-22T23:30:00Z,28.9818,-94.9186,1013.0,11111222 
TABS,ioos:station:wmo:42043:1,2017-08-23T00:00:00Z,28.9818,-94.9186,1012.0,11111222 
TABS,ioos:station:wmo:42043:1,2017-08-23T00:30:00Z,28.9818,-94.9186,1013.0,11111222 
TABS,ioos:station:wmo:42043:1,2017-08-23T01:00:00Z,28.9818,-94.9186,1012.0,11111222 
TABS,ioos:station:wmo:42043:1,2017-08-23T01:30:00Z,28.9818,-94.9186,1012.0,11111222 
TABS,ioos:station:wmo:42043:1,2017-08-23T02:00:00Z,28.9818,-94.9186,1012.0,11111222 
TABS,ioos:station:wmo:42043:1,2017-08-23T02:30:00Z,28.9818,-94.9186,1013.0,11111222 
TABS,ioos:station:wmo:42043:1,2017-08-23T03:00:00Z,28.9818,-94.9186,1012.0,11111222 
TABS,ioos:station:wmo:42043:1,2017-08-23T03:30:00Z,28.9818,-94.9186,1013.0,11111222 
TABS,ioos:station:wmo:42043:1,2017-08-23T04:00:00Z,28.9818,-94.9186,1010.0,11111222 
TABS,ioos:station:wmo:42043:1,2017-08-23T04:30:00Z,28.9818,-94.9186,1012.0,11111222 
TABS,ioos:station:wmo:42043:1,2017-08-23T05:00:00Z,28.9818,-94.9186,1012.0,11111222 
TABS,ioos:station:wmo:42043:1,2017-08-23T05:30:00Z,28.9818,-94.9186,1012.0,11111222 
TABS,ioos:station:wmo:42043:1,2017-08-23T06:00:00Z,28.9818,-94.9186,1013.0,11111222 
TABS,ioos:station:wmo:42043:1,2017-08-23T06:30:00Z,28.9818,-94.9186,1012.0,11111222 
TABS,ioos:station:wmo:42043:1,2017-08-23T07:00:00Z,28.9818,-94.9186,1012.0,11111222 
TABS,ioos:station:wmo:42043:1,2017-08-23T07:30:00Z,28.9818,-94.9186,1012.0,11111222 
TABS,ioos:station:wmo:42043:1,2017-08-23T08:00:00Z,28.9818,-94.9186,1012.0,11111222 
TABS,ioos:station:wmo:42043:1,2017-08-23T08:30:00Z,28.9818,-94.9186,1011.0,11111222 
TABS,ioos:station:wmo:42043:1,2017-08-23T09:00:00Z,28.9818,-94.9186,1011.0,11111222 
TABS,ioos:station:wmo:42043:1,2017-08-23T09:30:00Z,28.9818,-94.9186,1012.0,11111222 
TABS,ioos:station:wmo:42043:1,2017-08-23T10:00:00Z,28.9818,-94.9186,1011.0,11111222 
TABS,ioos:station:wmo:42043:1,2017-08-23T10:30:00Z,28.9818,-94.9186,1012.0,11111222 
TABS,ioos:station:wmo:42043:1,2017-08-23T11:00:00Z,28.9818,-94.9186,1011.0,11111222 
TABS,ioos:station:wmo:42043:1,2017-08-23T11:30:00Z,28.9818,-94.9186,1012.0,11111222 
TABS,ioos:station:wmo:42043:1,2017-08-23T12:00:00Z,28.9818,-94.9186,1013.0,11111222 
TABS,ioos:station:wmo:42043:1,2017-08-23T12:30:00Z,28.9818,-94.9186,1012.0,11111222 
TABS,ioos:station:wmo:42043:1,2017-08-23T13:00:00Z,28.9818,-94.9186,1012.0,11111222 
TABS,ioos:station:wmo:42043:1,2017-08-23T13:30:00Z,28.9818,-94.9186,1012.0,11111222 
TABS,ioos:station:wmo:42043:1,2017-08-23T14:00:00Z,28.9818,-94.9186,1012.0,11111222 
TABS,ioos:station:wmo:42043:1,2017-08-23T14:30:00Z,28.9818,-94.9186,1012.0,11111222 
TABS,ioos:station:wmo:42043:1,2017-08-23T15:00:00Z,28.9818,-94.9186,1012.0,11111222 
TABS,ioos:station:wmo:42043:1,2017-08-23T15:30:00Z,28.9818,-94.9186,1013.0,11111222 
TABS,ioos:station:wmo:42043:1,2017-08-23T16:00:00Z,28.9818,-94.9186,1012.0,11111222 
TABS,ioos:station:wmo:42043:1,2017-08-23T16:30:00Z,28.9818,-94.9186,1012.0,11111222 
TABS,ioos:station:wmo:42043:1,2017-08-23T17:00:00Z,28.9818,-94.9186,1012.0,11111222 
TABS,ioos:station:wmo:42043:1,2017-08-23T17:30:00Z,28.9818,-94.9186,1010.0,11111222 
TABS,ioos:station:wmo:42043:1,2017-08-23T18:00:00Z,28.9818,-94.9186,1011.0,11111222 
TABS,ioos:station:wmo:42043:1,2017-08-23T18:30:00Z,28.9818,-94.9186,1011.0,11111222 
TABS,ioos:station:wmo:42043:1,2017-08-23T19:00:00Z,28.9818,-94.9186,1011.0,11111222 
TABS,ioos:station:wmo:42043:1,2017-08-23T19:30:00Z,28.9818,-94.9186,1011.0,11111222 
TABS,ioos:station:wmo:42043:1,2017-08-23T20:00:00Z,28.9818,-94.9186,1008.0,11111222 
TABS,ioos:station:wmo:42043:1,2017-08-23T20:30:00Z,28.9818,-94.9186,1011.0,11111222 
TABS,ioos:station:wmo:42043:1,2017-08-23T21:00:00Z,28.9818,-94.9186,1009.0,11111222 
TABS,ioos:station:wmo:42043:1,2017-08-23T21:30:00Z,28.9818,-94.9186,1008.0,11111222 
TABS,ioos:station:wmo:42043:1,2017-08-23T22:00:00Z,28.9818,-94.9186,1009.0,11111222 
TABS,ioos:station:wmo:42043:1,2017-08-23T22:30:00Z,28.9818,-94.9186,1009.0,11111222 
TABS,ioos:station:wmo:42043:1,2017-08-23T23:00:00Z,28.9818,-94.9186,1009.0,11111222 
TABS,ioos:station:wmo:42043:1,2017-08-23T23:30:00Z,28.9818,-94.9186,1008.0,11111222 
TABS,ioos:station:wmo:42043:1,2017-08-24T00:00:00Z,28.9818,-94.9186,1009.0,11111222 
TABS,ioos:station:wmo:42043:1,2017-08-24T00:30:00Z,28.9818,-94.9186,1008.0,11111222 
TABS,ioos:station:wmo:42043:1,2017-08-24T01:00:00Z,28.9818,-94.9186,1009.0,11111222 
TABS,ioos:station:wmo:42043:1,2017-08-24T01:30:00Z,28.9818,-94.9186,1009.0,11111222 
TABS,ioos:station:wmo:42043:1,2017-08-24T02:00:00Z,28.9818,-94.9186,1008.0,11111222 
TABS,ioos:station:wmo:42043:1,2017-08-24T02:30:00Z,28.9818,-94.9186,1009.0,11111222 
TABS,ioos:station:wmo:42043:1,2017-08-24T03:00:00Z,28.9818,-94.9186,1009.0,11111222 
TABS,ioos:station:wmo:42043:1,2017-08-24T03:30:00Z,28.9818,-94.9186,1009.0,11111222 
TABS,ioos:station:wmo:42043:1,2017-08-24T04:00:00Z,28.9818,-94.9186,1009.0,11111222 
TABS,ioos:station:wmo:42043:1,2017-08-24T04:30:00Z,28.9818,-94.9186,1008.0,11111222 
TABS,ioos:station:wmo:42043:1,2017-08-24T05:00:00Z,28.9818,-94.9186,1009.0,11111222 
TABS,ioos:station:wmo:42043:1,2017-08-24T05:30:00Z,28.9818,-94.9186,1009.0,11111222 
TABS,ioos:station:wmo:42043:1,2017-08-24T06:00:00Z,28.9818,-94.9186,1008.0,11111222 
TABS,ioos:station:wmo:42043:1,2017-08-24T06:30:00Z,28.9818,-94.9186,1009.0,11111222 
TABS,ioos:station:wmo:42043:1,2017-08-24T07:00:00Z,28.9818,-94.9186,1008.0,11111222 
TABS,ioos:station:wmo:42043:1,2017-08-24T07:30:00Z,28.9818,-94.9186,1008.0,11111222 
TABS,ioos:station:wmo:42043:1,2017-08-24T08:00:00Z,28.9818,-94.9186,1008.0,11111222 
TABS,ioos:station:wmo:42043:1,2017-08-24T08:30:00Z,28.9818,-94.9186,1008.0,11111222 
TABS,ioos:station:wmo:42043:1,2017-08-24T09:00:00Z,28.9818,-94.9186,1007.0,11111222 
TABS,ioos:station:wmo:42043:1,2017-08-24T09:30:00Z,28.9818,-94.9186,1008.0,11111222 
TABS,ioos:station:wmo:42043:1,2017-08-24T10:00:00Z,28.9818,-94.9186,1008.0,11111222 
TABS,ioos:station:wmo:42043:1,2017-08-24T10:30:00Z,28.9818,-94.9186,1008.0,11111222 
TABS,ioos:station:wmo:42043:1,2017-08-24T11:00:00Z,28.9818,-94.9186,1008.0,11111222 
TABS,ioos:station:wmo:42043:1,2017-08-24T11:30:00Z,28.9818,-94.9186,1008.0,11111222 
