Platform ID,Latitude,Longitude
8764314,29.2675,-91.3839
42047,27.8966,-93.5973
42043,28.9818,-94.9186
8770613,29.6817,-94.985
TABS:X,27.066,-96.3383
42044,26.1914,-97.0507
42019,27.907,-95.353
