Date,Time,Lat,Lon,Wind (mph),Wind (m/s),Pressure (mb),Storm Type
8/16/17,6:00:00 AM,13.7,-45.8,29,12.96379079,1013,Tropical Low
8/16/17,9:00:00 AM,13.713,-46.6,29,12.96379079,1011,Tropical Low
8/16/17,12:00:00 PM,13.7,-47.4,29,12.96379079,1010,Tropical Low
8/16/17,3:00:00 PM,13.65,-48.2,29,12.96379079,1009,Tropical Low
8/16/17,6:00:00 PM,13.6,-49,29,12.96379079,1009,Tropical Low
8/16/17,9:00:00 PM,13.607,-49.815,29,12.96379079,1009,Tropical Low
8/17/17,12:00:00 AM,13.6,-50.6,29,12.96379079,1010,Tropical Low
8/17/17,3:00:00 AM,13.522,-51.315,29,12.96379079,1009,Tropical Low
8/17/17,6:00:00 AM,13.4,-52,29,12.96379079,1008,Tropical Depression
8/17/17,9:00:00 AM,13.242,-52.685,31,13.85784533,1008,Tropical Depression
8/17/17,12:00:00 PM,13.1,-53.4,35,15.6459544,1008,Tropical Depression
8/17/17,3:00:00 PM,13.027,-54.185,37,16.54000894,1006,Tropical Depression
8/17/17,6:00:00 PM,13,-55,40,17.88109075,1004,Tropical Storm
8/17/17,9:00:00 PM,12.992,-55.785,43,19.22217255,1003,Tropical Storm
8/18/17,12:00:00 AM,13,-56.6,46,20.56325436,1003,Tropical Storm
8/18/17,3:00:00 AM,12.986,-57.486,46,20.56325436,1003,Tropical Storm
8/18/17,6:00:00 AM,13,-58.4,46,20.56325436,1004,Tropical Storm
8/18/17,9:00:00 AM,13.082,-59.28,46,20.56325436,1004,Tropical Storm
8/18/17,10:00:00 AM,13.1,-59.6,46,20.56325436,1004,Tropical Storm
8/18/17,12:00:00 PM,13.1,-60.3,46,20.56325436,1004,Tropical Storm
8/18/17,3:00:00 PM,13.2,-61.2,46,20.56325436,1004,Tropical Storm
8/18/17,6:00:00 PM,13.2,-62.2,40,17.88109075,1005,Tropical Storm
8/18/17,9:00:00 PM,13.286,-63.127,40,17.88109075,1005,Tropical Storm
8/19/17,12:00:00 AM,13.4,-64,40,17.88109075,1005,Tropical Storm
8/19/17,3:00:00 AM,13.45,-64.85,40,17.88109075,1005,Tropical Storm
8/19/17,6:00:00 AM,13.5,-65.7,40,17.88109075,1005,Tropical Storm
8/19/17,9:00:00 AM,13.6,-66.6,37,16.54000894,1005,Tropical Storm
8/19/17,12:00:00 PM,13.7,-67.5,35,15.6459544,1006,Tropical Depression
8/19/17,3:00:00 PM,13.75,-68.35,35,15.6459544,1006,Tropical Depression
8/19/17,6:00:00 PM,13.8,-69.2,35,15.6459544,1007,Tropical Wave
8/19/17,9:00:00 PM,13.892,-70.085,35,15.6459544,1007,Tropical Wave
8/20/17,12:00:00 AM,14,-71,35,15.6459544,1007,Tropical Wave
8/20/17,3:00:00 AM,14.1,-71.928,35,15.6459544,1007,Tropical Wave
8/20/17,6:00:00 AM,14.2,-72.9,35,15.6459544,1007,Tropical Wave
8/20/17,9:00:00 AM,14.293,-73.958,35,15.6459544,1006,Tropical Wave
8/20/17,12:00:00 PM,14.4,-75,35,15.6459544,1006,Tropical Wave
8/20/17,3:00:00 PM,14.534,-75.923,35,15.6459544,1006,Tropical Wave
8/20/17,6:00:00 PM,14.7,-76.8,35,15.6459544,1007,Tropical Wave
8/20/17,9:00:00 PM,14.877,-77.693,31,13.85784533,1007,Tropical Wave
8/21/17,12:00:00 AM,15.1,-78.6,29,12.96379079,1007,Tropical Wave
8/21/17,3:00:00 AM,15.377,-79.535,29,12.96379079,1007,Tropical Wave
8/21/17,6:00:00 AM,15.7,-80.5,29,12.96379079,1008,Tropical Wave
8/21/17,9:00:00 AM,16.027,-81.486,29,12.96379079,1008,Tropical Wave
8/21/17,12:00:00 PM,16.4,-82.5,29,12.96379079,1008,Tropical Wave
8/21/17,3:00:00 PM,16.85,-83.565,29,12.96379079,1008,Tropical Wave
8/21/17,6:00:00 PM,17.3,-84.6,29,12.96379079,1008,Tropical Wave
8/21/17,9:00:00 PM,17.672,-85.553,29,12.96379079,1008,Tropical Wave
8/22/17,12:00:00 AM,18,-86.4,29,12.96379079,1008,Tropical Wave
8/22/17,3:00:00 AM,18.292,-87.16,29,12.96379079,1008,Tropical Wave
8/22/17,6:00:00 AM,18.6,-87.8,29,12.96379079,1009,Tropical Wave
8/22/17,9:00:00 AM,19,-88.338,29,12.96379079,1009,Tropical Wave
8/22/17,12:00:00 PM,19.4,-88.8,29,12.96379079,1010,Tropical Wave
8/22/17,3:00:00 PM,19.722,-89.25,29,12.96379079,1010,Tropical Wave
8/22/17,6:00:00 PM,20,-89.7,29,12.96379079,1010,Tropical Low
8/22/17,9:00:00 PM,20.265,-90.2,29,12.96379079,1009,Tropical Low
8/23/17,12:00:00 AM,20.5,-90.7,29,12.96379079,1009,Tropical Low
8/23/17,3:00:00 AM,20.7,-91.173,29,12.96379079,1008,Tropical Low
8/23/17,6:00:00 AM,20.9,-91.6,29,12.96379079,1008,Tropical Low
8/23/17,9:00:00 AM,21.165,-92.01,31,13.85784533,1007,Tropical Low
8/23/17,12:00:00 PM,21.4,-92.3,35,15.6459544,1006,Tropical Depression
8/23/17,3:00:00 PM,21.507,-92.395,37,16.54000894,1005,Tropical Depression
8/23/17,6:00:00 PM,21.6,-92.4,40,17.88109075,1005,Tropical Storm
8/23/17,9:00:00 PM,21.755,-92.45,43,19.22217255,1004,Tropical Storm
8/24/17,12:00:00 AM,22,-92.5,46,20.56325436,1003,Tropical Storm
8/24/17,3:00:00 AM,22.362,-92.52,52,23.24541797,1000,Tropical Storm
8/24/17,6:00:00 AM,22.8,-92.6,58,25.92758158,997,Tropical Storm
8/24/17,9:00:00 AM,23.258,-92.82,63,28.16271793,991,Tropical Storm
8/24/17,12:00:00 PM,23.7,-93.1,69,30.84488154,986,Tropical Storm
8/24/17,3:00:00 PM,24.072,-93.328,75,33.52704515,982,Tropical Storm
8/24/17,6:00:00 PM,24.4,-93.6,81,36.20920876,978,Category 1 Hurricane
8/24/17,9:00:00 PM,24.708,-93.985,86,38.44434511,975,Category 1 Hurricane
8/25/17,12:00:00 AM,25,-94.4,92,41.12650872,973,Category 1 Hurricane
8/25/17,3:00:00 AM,25.292,-94.758,98,43.80867233,969,Category 2 Hurricane
