Row Labels,Max of latitude,Max of longitude
NOAA.NOS.CO-OPS:8764314,29.2675,-91.3839
wmo:42047,27.8966,-93.5973
wmo:42043,28.9818,-94.9186
NOAA.NOS.CO-OPS:8770613,29.6817,-94.985
TABS:X,27.066,-96.3383
wmo:42044,26.1914,-97.0507
