network,platform,latitude,longitude,date,sea_water_turbidity,qcFlag 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2018-08-05T12:00:00Z,2.3,1111122 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2018-08-05T12:00:00Z,3.51,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2018-08-05T12:00:00Z,1.36,1111122 
NERRS,ioos:station:NOAA.NERRS:apaebwq,29.7858,-84.8752,2018-08-05T12:45:00Z,7.0,1111122 
NERRS,ioos:station:NOAA.NERRS:rkblhwq,26.0257,-81.7332,2018-08-05T12:45:00Z,3.0,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2018-08-05T13:00:00Z,2.57,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2018-08-05T13:00:00Z,2.19,1111122 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2018-08-05T13:00:00Z,4.22,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2018-08-05T13:00:00Z,1.24,1111122 
NERRS,ioos:station:NOAA.NERRS:apaebwq,29.7858,-84.8752,2018-08-05T13:45:00Z,30.0,1111122 
NERRS,ioos:station:NOAA.NERRS:rkblhwq,26.0257,-81.7332,2018-08-05T13:45:00Z,3.0,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2018-08-05T14:00:00Z,2.52,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2018-08-05T14:00:00Z,1.91,1111122 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2018-08-05T14:00:00Z,3.79,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2018-08-05T14:00:00Z,1.5,1111122 
NERRS,ioos:station:NOAA.NERRS:apaebwq,29.7858,-84.8752,2018-08-05T14:45:00Z,33.0,1111122 
NERRS,ioos:station:NOAA.NERRS:rkblhwq,26.0257,-81.7332,2018-08-05T14:45:00Z,4.0,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2018-08-05T15:00:00Z,2.75,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2018-08-05T15:00:00Z,1.66,1111122 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2018-08-05T15:00:00Z,3.9,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2018-08-05T15:00:00Z,1.52,1111122 
NERRS,ioos:station:NOAA.NERRS:apaebwq,29.7858,-84.8752,2018-08-05T15:45:00Z,27.0,1111122 
NERRS,ioos:station:NOAA.NERRS:rkblhwq,26.0257,-81.7332,2018-08-05T15:45:00Z,5.0,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2018-08-05T16:00:00Z,2.7,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2018-08-05T16:00:00Z,2.07,1111122 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2018-08-05T16:00:00Z,4.67,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2018-08-05T16:00:00Z,1.51,1111122 
NERRS,ioos:station:NOAA.NERRS:apaebwq,29.7858,-84.8752,2018-08-05T16:45:00Z,26.0,1111122 
NERRS,ioos:station:NOAA.NERRS:rkblhwq,26.0257,-81.7332,2018-08-05T16:45:00Z,6.0,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2018-08-05T17:00:00Z,2.66,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2018-08-05T17:00:00Z,2.55,1111122 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2018-08-05T17:00:00Z,4.07,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2018-08-05T17:00:00Z,1.58,1111122 
NERRS,ioos:station:NOAA.NERRS:apaebwq,29.7858,-84.8752,2018-08-05T17:45:00Z,26.0,1111122 
NERRS,ioos:station:NOAA.NERRS:rkblhwq,26.0257,-81.7332,2018-08-05T17:45:00Z,8.0,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2018-08-05T18:00:00Z,2.56,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2018-08-05T18:00:00Z,2.68,1111122 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2018-08-05T18:00:00Z,4.66,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2018-08-05T18:00:00Z,1.64,1111122 
NERRS,ioos:station:NOAA.NERRS:apaebwq,29.7858,-84.8752,2018-08-05T18:45:00Z,24.0,1111122 
NERRS,ioos:station:NOAA.NERRS:rkblhwq,26.0257,-81.7332,2018-08-05T18:45:00Z,7.0,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2018-08-05T19:00:00Z,2.55,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2018-08-05T19:00:00Z,3.06,1111122 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2018-08-05T19:00:00Z,4.43,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2018-08-05T19:00:00Z,1.75,1111122 
NERRS,ioos:station:NOAA.NERRS:apaebwq,29.7858,-84.8752,2018-08-05T19:45:00Z,26.0,1111122 
NERRS,ioos:station:NOAA.NERRS:rkblhwq,26.0257,-81.7332,2018-08-05T19:45:00Z,5.0,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2018-08-05T20:00:00Z,2.98,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2018-08-05T20:00:00Z,2.56,1111122 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2018-08-05T20:00:00Z,4.45,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2018-08-05T20:00:00Z,1.66,1111122 
NERRS,ioos:station:NOAA.NERRS:apaebwq,29.7858,-84.8752,2018-08-05T20:45:00Z,33.0,1111122 
NERRS,ioos:station:NOAA.NERRS:rkblhwq,26.0257,-81.7332,2018-08-05T20:45:00Z,7.0,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2018-08-05T21:00:00Z,3.14,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2018-08-05T21:00:00Z,2.43,1111122 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2018-08-05T21:00:00Z,3.47,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2018-08-05T21:00:00Z,1.33,1111122 
NERRS,ioos:station:NOAA.NERRS:apaebwq,29.7858,-84.8752,2018-08-05T21:45:00Z,34.0,1111122 
NERRS,ioos:station:NOAA.NERRS:rkblhwq,26.0257,-81.7332,2018-08-05T21:45:00Z,6.0,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2018-08-05T22:00:00Z,2.46,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2018-08-05T22:00:00Z,2.36,1111122 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2018-08-05T22:00:00Z,4.84,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2018-08-05T22:00:00Z,1.42,1111122 
NERRS,ioos:station:NOAA.NERRS:apaebwq,29.7858,-84.8752,2018-08-05T22:45:00Z,35.0,1111122 
NERRS,ioos:station:NOAA.NERRS:rkblhwq,26.0257,-81.7332,2018-08-05T22:45:00Z,5.0,1111122 
NERRS,ioos:station:NOAA.NERRS:apaebwq,29.7858,-84.8752,2018-08-05T23:45:00Z,31.0,1111122 
NERRS,ioos:station:NOAA.NERRS:rkblhwq,26.0257,-81.7332,2018-08-05T23:45:00Z,4.0,1111122 
NERRS,ioos:station:NOAA.NERRS:apaebwq,29.7858,-84.8752,2018-08-06T00:45:00Z,31.0,1111122 
NERRS,ioos:station:NOAA.NERRS:rkblhwq,26.0257,-81.7332,2018-08-06T00:45:00Z,3.0,1111122 
NERRS,ioos:station:NOAA.NERRS:apaebwq,29.7858,-84.8752,2018-08-06T01:45:00Z,23.0,1111122 
NERRS,ioos:station:NOAA.NERRS:rkblhwq,26.0257,-81.7332,2018-08-06T01:45:00Z,3.0,1111122 
NERRS,ioos:station:NOAA.NERRS:apaebwq,29.7858,-84.8752,2018-08-06T02:45:00Z,19.0,1111122 
NERRS,ioos:station:NOAA.NERRS:rkblhwq,26.0257,-81.7332,2018-08-06T02:45:00Z,3.0,1111122 
NERRS,ioos:station:NOAA.NERRS:apaebwq,29.7858,-84.8752,2018-08-06T03:45:00Z,17.0,1111122 
NERRS,ioos:station:NOAA.NERRS:rkblhwq,26.0257,-81.7332,2018-08-06T03:45:00Z,3.0,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2018-08-06T04:00:00Z,2.68,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2018-08-06T04:00:00Z,1.68,1111122 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2018-08-06T04:00:00Z,3.23,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2018-08-06T04:00:00Z,1.57,1111122 
NERRS,ioos:station:NOAA.NERRS:apaebwq,29.7858,-84.8752,2018-08-06T04:45:00Z,16.0,1111122 
NERRS,ioos:station:NOAA.NERRS:rkblhwq,26.0257,-81.7332,2018-08-06T04:45:00Z,3.0,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2018-08-06T05:00:00Z,2.69,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2018-08-06T05:00:00Z,1.8,1111122 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2018-08-06T05:00:00Z,3.31,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2018-08-06T05:00:00Z,1.56,1111122 
NERRS,ioos:station:NOAA.NERRS:apaebwq,29.7858,-84.8752,2018-08-06T05:45:00Z,13.0,1111122 
NERRS,ioos:station:NOAA.NERRS:rkblhwq,26.0257,-81.7332,2018-08-06T05:45:00Z,3.0,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2018-08-06T06:00:00Z,2.85,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2018-08-06T06:00:00Z,1.62,1111122 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2018-08-06T06:00:00Z,3.59,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2018-08-06T06:00:00Z,1.64,1111122 
NERRS,ioos:station:NOAA.NERRS:apaebwq,29.7858,-84.8752,2018-08-06T06:45:00Z,14.0,1111122 
NERRS,ioos:station:NOAA.NERRS:rkblhwq,26.0257,-81.7332,2018-08-06T06:45:00Z,3.0,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2018-08-06T07:00:00Z,2.98,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2018-08-06T07:00:00Z,1.7,1111122 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2018-08-06T07:00:00Z,3.27,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2018-08-06T07:00:00Z,1.72,1111122 
NERRS,ioos:station:NOAA.NERRS:apaebwq,29.7858,-84.8752,2018-08-06T07:45:00Z,13.0,1111122 
NERRS,ioos:station:NOAA.NERRS:rkblhwq,26.0257,-81.7332,2018-08-06T07:45:00Z,4.0,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2018-08-06T08:00:00Z,3.29,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2018-08-06T08:00:00Z,1.55,1111122 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2018-08-06T08:00:00Z,3.25,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2018-08-06T08:00:00Z,2.05,1111122 
NERRS,ioos:station:NOAA.NERRS:apaebwq,29.7858,-84.8752,2018-08-06T08:45:00Z,12.0,1111122 
NERRS,ioos:station:NOAA.NERRS:rkblhwq,26.0257,-81.7332,2018-08-06T08:45:00Z,4.0,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2018-08-06T09:00:00Z,2.91,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2018-08-06T09:00:00Z,1.81,1111122 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2018-08-06T09:00:00Z,3.06,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2018-08-06T09:00:00Z,1.76,1111122 
NERRS,ioos:station:NOAA.NERRS:apaebwq,29.7858,-84.8752,2018-08-06T09:45:00Z,16.0,1111122 
NERRS,ioos:station:NOAA.NERRS:rkblhwq,26.0257,-81.7332,2018-08-06T09:45:00Z,4.0,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2018-08-06T10:00:00Z,2.5,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2018-08-06T10:00:00Z,1.57,1111122 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2018-08-06T10:00:00Z,2.97,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2018-08-06T10:00:00Z,1.44,1111122 
NERRS,ioos:station:NOAA.NERRS:apaebwq,29.7858,-84.8752,2018-08-06T10:45:00Z,11.0,1111122 
NERRS,ioos:station:NOAA.NERRS:rkblhwq,26.0257,-81.7332,2018-08-06T10:45:00Z,4.0,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2018-08-06T11:00:00Z,2.47,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2018-08-06T11:00:00Z,1.88,1111122 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2018-08-06T11:00:00Z,2.98,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2018-08-06T11:00:00Z,1.12,1111122 
NERRS,ioos:station:NOAA.NERRS:apaebwq,29.7858,-84.8752,2018-08-06T11:45:00Z,15.0,1111122 
NERRS,ioos:station:NOAA.NERRS:rkblhwq,26.0257,-81.7332,2018-08-06T11:45:00Z,4.0,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2018-08-06T12:00:00Z,2.42,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2018-08-06T12:00:00Z,2.14,1111122 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2018-08-06T12:00:00Z,3.2,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2018-08-06T12:00:00Z,1.15,1111122 
NERRS,ioos:station:NOAA.NERRS:apaebwq,29.7858,-84.8752,2018-08-06T12:45:00Z,30.0,1111122 
NERRS,ioos:station:NOAA.NERRS:rkblhwq,26.0257,-81.7332,2018-08-06T12:45:00Z,3.0,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2018-08-06T13:00:00Z,2.65,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2018-08-06T13:00:00Z,2.09,1111122 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2018-08-06T13:00:00Z,2.91,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2018-08-06T13:00:00Z,1.16,1111122 
NERRS,ioos:station:NOAA.NERRS:apaebwq,29.7858,-84.8752,2018-08-06T13:45:00Z,23.0,1111122 
NERRS,ioos:station:NOAA.NERRS:rkblhwq,26.0257,-81.7332,2018-08-06T13:45:00Z,2.0,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2018-08-06T14:00:00Z,2.48,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2018-08-06T14:00:00Z,1.94,1111122 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2018-08-06T14:00:00Z,3.85,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2018-08-06T14:00:00Z,1.24,1111122 
NERRS,ioos:station:NOAA.NERRS:apaebwq,29.7858,-84.8752,2018-08-06T14:45:00Z,23.0,1111122 
NERRS,ioos:station:NOAA.NERRS:rkblhwq,26.0257,-81.7332,2018-08-06T14:45:00Z,3.0,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2018-08-06T15:00:00Z,2.32,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2018-08-06T15:00:00Z,1.65,1111122 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2018-08-06T15:00:00Z,3.11,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2018-08-06T15:00:00Z,1.28,1111122 
NERRS,ioos:station:NOAA.NERRS:apaebwq,29.7858,-84.8752,2018-08-06T15:45:00Z,24.0,1111122 
NERRS,ioos:station:NOAA.NERRS:rkblhwq,26.0257,-81.7332,2018-08-06T15:45:00Z,4.0,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2018-08-06T16:00:00Z,2.38,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2018-08-06T16:00:00Z,1.55,1111122 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2018-08-06T16:00:00Z,3.18,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2018-08-06T16:00:00Z,1.41,1111122 
NERRS,ioos:station:NOAA.NERRS:apaebwq,29.7858,-84.8752,2018-08-06T16:45:00Z,22.0,1111122 
NERRS,ioos:station:NOAA.NERRS:rkblhwq,26.0257,-81.7332,2018-08-06T16:45:00Z,7.0,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2018-08-06T17:00:00Z,2.67,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2018-08-06T17:00:00Z,1.8,1111122 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2018-08-06T17:00:00Z,2.85,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2018-08-06T17:00:00Z,1.53,1111122 
NERRS,ioos:station:NOAA.NERRS:apaebwq,29.7858,-84.8752,2018-08-06T17:45:00Z,30.0,1111122 
NERRS,ioos:station:NOAA.NERRS:rkblhwq,26.0257,-81.7332,2018-08-06T17:45:00Z,7.0,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2018-08-06T18:00:00Z,2.46,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2018-08-06T18:00:00Z,2.68,1111122 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2018-08-06T18:00:00Z,3.22,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2018-08-06T18:00:00Z,1.59,1111122 
NERRS,ioos:station:NOAA.NERRS:apaebwq,29.7858,-84.8752,2018-08-06T18:45:00Z,28.0,1111122 
NERRS,ioos:station:NOAA.NERRS:rkblhwq,26.0257,-81.7332,2018-08-06T18:45:00Z,9.0,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2018-08-06T19:00:00Z,2.35,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2018-08-06T19:00:00Z,2.33,1111122 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2018-08-06T19:00:00Z,3.33,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2018-08-06T19:00:00Z,1.57,1111122 
NERRS,ioos:station:NOAA.NERRS:apaebwq,29.7858,-84.8752,2018-08-06T19:45:00Z,27.0,1111122 
NERRS,ioos:station:NOAA.NERRS:rkblhwq,26.0257,-81.7332,2018-08-06T19:45:00Z,8.0,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2018-08-06T20:00:00Z,2.28,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2018-08-06T20:00:00Z,2.66,1111122 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2018-08-06T20:00:00Z,3.21,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2018-08-06T20:00:00Z,1.59,1111122 
NERRS,ioos:station:NOAA.NERRS:apaebwq,29.7858,-84.8752,2018-08-06T20:45:00Z,27.0,1111122 
NERRS,ioos:station:NOAA.NERRS:rkblhwq,26.0257,-81.7332,2018-08-06T20:45:00Z,7.0,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2018-08-06T21:00:00Z,2.19,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2018-08-06T21:00:00Z,2.42,1111122 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2018-08-06T21:00:00Z,3.15,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2018-08-06T21:00:00Z,1.64,1111122 
NERRS,ioos:station:NOAA.NERRS:apaebwq,29.7858,-84.8752,2018-08-06T21:45:00Z,22.0,1111122 
NERRS,ioos:station:NOAA.NERRS:rkblhwq,26.0257,-81.7332,2018-08-06T21:45:00Z,7.0,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2018-08-06T22:00:00Z,2.75,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2018-08-06T22:00:00Z,2.38,1111122 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2018-08-06T22:00:00Z,3.34,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2018-08-06T22:00:00Z,1.6,1111122 
NERRS,ioos:station:NOAA.NERRS:apaebwq,29.7858,-84.8752,2018-08-06T22:45:00Z,19.0,1111122 
NERRS,ioos:station:NOAA.NERRS:rkblhwq,26.0257,-81.7332,2018-08-06T22:45:00Z,6.0,1111122 
NERRS,ioos:station:NOAA.NERRS:apaebwq,29.7858,-84.8752,2018-08-06T23:45:00Z,16.0,1111122 
NERRS,ioos:station:NOAA.NERRS:rkblhwq,26.0257,-81.7332,2018-08-06T23:45:00Z,7.0,1111122 
NERRS,ioos:station:NOAA.NERRS:apaebwq,29.7858,-84.8752,2018-08-07T00:45:00Z,17.0,1111122 
NERRS,ioos:station:NOAA.NERRS:rkblhwq,26.0257,-81.7332,2018-08-07T00:45:00Z,5.0,1111122 
NERRS,ioos:station:NOAA.NERRS:apaebwq,29.7858,-84.8752,2018-08-07T01:45:00Z,16.0,1111122 
NERRS,ioos:station:NOAA.NERRS:rkblhwq,26.0257,-81.7332,2018-08-07T01:45:00Z,4.0,1111122 
NERRS,ioos:station:NOAA.NERRS:apaebwq,29.7858,-84.8752,2018-08-07T02:45:00Z,13.0,1111122 
NERRS,ioos:station:NOAA.NERRS:rkblhwq,26.0257,-81.7332,2018-08-07T02:45:00Z,3.0,1111122 
NERRS,ioos:station:NOAA.NERRS:apaebwq,29.7858,-84.8752,2018-08-07T03:45:00Z,15.0,1111122 
NERRS,ioos:station:NOAA.NERRS:rkblhwq,26.0257,-81.7332,2018-08-07T03:45:00Z,3.0,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2018-08-07T04:00:00Z,2.61,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2018-08-07T04:00:00Z,2.12,1111122 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2018-08-07T04:00:00Z,3.2,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2018-08-07T04:00:00Z,2.5,1111122 
NERRS,ioos:station:NOAA.NERRS:apaebwq,29.7858,-84.8752,2018-08-07T04:45:00Z,16.0,1111122 
NERRS,ioos:station:NOAA.NERRS:rkblhwq,26.0257,-81.7332,2018-08-07T04:45:00Z,5.0,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2018-08-07T05:00:00Z,2.64,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2018-08-07T05:00:00Z,1.9,1111122 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2018-08-07T05:00:00Z,3.41,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2018-08-07T05:00:00Z,1.63,1111122 
NERRS,ioos:station:NOAA.NERRS:apaebwq,29.7858,-84.8752,2018-08-07T05:45:00Z,16.0,1111122 
NERRS,ioos:station:NOAA.NERRS:rkblhwq,26.0257,-81.7332,2018-08-07T05:45:00Z,5.0,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2018-08-07T06:00:00Z,2.59,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2018-08-07T06:00:00Z,1.54,1111122 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2018-08-07T06:00:00Z,3.45,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2018-08-07T06:00:00Z,1.45,1111122 
NERRS,ioos:station:NOAA.NERRS:apaebwq,29.7858,-84.8752,2018-08-07T06:45:00Z,20.0,1111122 
NERRS,ioos:station:NOAA.NERRS:rkblhwq,26.0257,-81.7332,2018-08-07T06:45:00Z,4.0,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2018-08-07T07:00:00Z,3.03,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2018-08-07T07:00:00Z,1.69,1111122 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2018-08-07T07:00:00Z,3.53,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2018-08-07T07:00:00Z,1.5,1111122 
NERRS,ioos:station:NOAA.NERRS:apaebwq,29.7858,-84.8752,2018-08-07T07:45:00Z,25.0,1111122 
NERRS,ioos:station:NOAA.NERRS:rkblhwq,26.0257,-81.7332,2018-08-07T07:45:00Z,4.0,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2018-08-07T08:00:00Z,2.84,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2018-08-07T08:00:00Z,1.73,1111122 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2018-08-07T08:00:00Z,3.73,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2018-08-07T08:00:00Z,1.85,1111122 
NERRS,ioos:station:NOAA.NERRS:apaebwq,29.7858,-84.8752,2018-08-07T08:45:00Z,14.0,1111122 
NERRS,ioos:station:NOAA.NERRS:rkblhwq,26.0257,-81.7332,2018-08-07T08:45:00Z,4.0,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2018-08-07T09:00:00Z,2.65,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2018-08-07T09:00:00Z,1.57,1111122 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2018-08-07T09:00:00Z,3.1,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2018-08-07T09:00:00Z,1.62,1111122 
NERRS,ioos:station:NOAA.NERRS:apaebwq,29.7858,-84.8752,2018-08-07T09:45:00Z,22.0,1111122 
NERRS,ioos:station:NOAA.NERRS:rkblhwq,26.0257,-81.7332,2018-08-07T09:45:00Z,5.0,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2018-08-07T10:00:00Z,2.72,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2018-08-07T10:00:00Z,1.15,1111122 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2018-08-07T10:00:00Z,3.14,1111122 
