owner,sensor,date,latitude,longitude,vertical_datum,wind_speed,wind_to_direction,wind_speed_of_gust,qcFlag 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-06-02T18:42:00Z,29.6817,-94.985,0,4.3,108,6.2,'1111122
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-06-02T19:42:00Z,29.6817,-94.985,0,3.4,71,4.6,'1111122
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-06-02T20:42:00Z,29.6817,-94.985,0,2.8,74,4.6,'1111122
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-06-02T21:42:00Z,29.6817,-94.985,0,1.6,108,2.4,'1111122
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-06-02T22:42:00Z,29.6817,-94.985,0,4.3,124,5.6,'1111122
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-06-02T23:42:00Z,29.6817,-94.985,0,3.3,136,4.7,'1111122
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-06-03T00:36:00Z,29.6817,-94.985,0,4.2,99,5.6,'1111122
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-06-03T01:42:00Z,29.6817,-94.985,0,3.3,114,4.7,'1111122
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-06-03T02:42:00Z,29.6817,-94.985,0,3,109,4.3,'1111122
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-06-03T03:36:00Z,29.6817,-94.985,0,3.8,114,5.4,'1111122
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-06-03T04:42:00Z,29.6817,-94.985,0,3.5,114,4.4,'1111122
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-06-03T05:42:00Z,29.6817,-94.985,0,3,104,3.9,'1111122
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-06-03T06:36:00Z,29.6817,-94.985,0,2.2,33,2.8,'1111122
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-06-03T07:42:00Z,29.6817,-94.985,0,2.4,51,2.9,'1111122
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-06-03T08:42:00Z,29.6817,-94.985,0,3,54,3.5,'1111122
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-06-03T09:42:00Z,29.6817,-94.985,0,3.1,56,4.2,'1111122
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-06-03T10:42:00Z,29.6817,-94.985,0,2.9,40,3.7,'1111122
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-06-03T11:42:00Z,29.6817,-94.985,0,3.1,41,4.2,'1111122
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-06-03T12:36:00Z,29.6817,-94.985,0,3.6,47,4.6,'1111122
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-06-03T13:42:00Z,29.6817,-94.985,0,2.8,51,3.4,'1111122
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-06-03T14:42:00Z,29.6817,-94.985,0,2.2,62,3.1,'1111122
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-06-03T15:42:00Z,29.6817,-94.985,0,2.6,84,4.2,'1111122
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-06-03T16:42:00Z,29.6817,-94.985,0,3.3,131,4.2,'1111122
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-06-03T17:42:00Z,29.6817,-94.985,0,2.8,138,5.1,'1111122
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-06-03T18:42:00Z,29.6817,-94.985,0,3.1,131,5.1,'1111122
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-06-03T19:42:00Z,29.6817,-94.985,0,3.2,137,5,'1111122
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-06-03T20:36:00Z,29.6817,-94.985,0,3.5,138,6.4,'1111122
